# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
9596.799974,10000,2433.1366
9584.036012,10000,2440.696413
9581.699223,10000,2449.640458
9551.158633,10000,2455.828907
9550.356505,10000,2461.416959
9541.073037,10000,2467.987386
9537.776071,10000,2474.592718
9511.789955,10000,2480.927784
9550.774785,10000,2486.658448
9531.914354,10000,2492.700288
9505.739023,10000,2499.495113
9520.286158,10000,2505.275692
9519.932289,10000,2511.825134
9505.647191,10000,2517.632603
9380.828529,10000,2524.211585
9517.819044,10000,2529.877471
9490.71505,10000,2535.543318
9505.150641,10000,2541.249062
9660.144088,10000,2546.965762
9521.038957,10000,2552.606637
9545.569362,10000,2558.240567
9366.861134,10000,2564.076957
9444.721825,10000,2569.701912
9382.12717,10000,2575.621081
9565.027942,10000,2581.69284
9437.450521,10000,2587.343727
9326.806249,10000,2592.989625
4158.469251,4636,2596.411511
9494.563236,10000,2604.363204
9371.017624,10000,2610.055978
3434.249673,3836,2613.140728
2880.564038,3357,2614.554984
9528.505045,10000,2621.3388
9536.617015,10000,2627.139286
9673.625478,10000,2632.730379
9559.674636,10000,2639.126256
9652.112512,10000,2645.916064
8479.069308,9104,2651.620807
9917.723833,10000,2658.315899
9462.543169,10000,2665.29128
9698.823447,10000,2671.954463
9589.818278,10000,2678.159824
9686.887197,10000,2684.272473
9537.005426,10000,2690.037057
9789.192047,10000,2695.730827
9744.213427,10000,2701.271009
9697.504038,10000,2707.142306
9681.698721,10000,2713.039571
9689.536081,10000,2718.642546
9678.939574,10000,2724.337314
9684.614583,10000,2729.988205
8428.217842,8733,2735.117522
9694.159584,10000,2741.229135
9601.425115,10000,2746.847107
9672.349592,10000,2752.541875
9717.413556,10000,2758.206723
9771.383816,10000,2763.777865
9691.308968,10000,2769.358897
160.774367,421,2770.963603
92.431848,371,2771.15114
9828.550294,10000,2781.605175
9858.329776,10000,2787.136387
183.280633,446,2788.734073
9854.738921,10000,2798.270607
9849.597856,10000,2803.824711
9875.123169,10000,2809.326994
10190.603841,10000,2814.94401
9761.417069,10000,2820.498155
10354.679229,10000,2826.095145
10126.267087,10000,2831.586498
9881.434654,10000,2837.313178
9867.984533,10000,2843.358006
9835.53524,10000,2848.866243
9853.538349,10000,2854.413404
9686.414405,10000,2860.058342
9885.481338,10000,2865.727142
9784.063548,10000,2871.267325
9720.401639,10000,2876.843411
9731.848794,10000,2882.375614
9974.06767,10000,2888.056418
10189.642189,10000,2893.608568
9801.062175,10000,2899.207635
9719.476594,10000,2905.391055
9912.870107,10000,2911.120731
9901.819696,10000,2916.648981
9738.507797,10000,2922.391634
10002.020904,10000,2928.218998
9888.62696,10000,2934.137167
9723.053394,10000,2939.841961
46.816298,334,2941.336911
