# {"t_start": 1604759521.9819155, "env_id": "BallBalancerSim-v0"} 
r,l,t
449.032723,1000,59.411983
539.68036,1000,61.409818
598.750078,1000,61.844472
569.223861,1000,62.25675
644.26218,1000,62.683609
315.155529,1000,63.095065
471.584421,1000,63.541235
458.453401,1000,64.041861
450.166061,1000,64.458333
593.541174,1000,64.896934
332.094749,1000,65.306836
555.511953,1000,67.167396
412.212502,1000,67.585818
555.176777,1000,68.013251
461.087267,1000,68.468541
554.175794,1000,68.894838
601.269573,1000,69.430511
442.852294,1000,69.877868
636.786369,1000,70.317691
615.259305,1000,70.741538
332.647802,1000,71.157488
490.102102,1000,73.060775
396.476232,1000,73.559981
566.186196,1000,74.038779
340.49363,1000,74.54118
628.613374,1000,75.151579
368.306085,1000,75.664725
600.492407,1000,76.224333
614.954331,1000,76.71705
398.439438,1000,77.295045
460.554532,1000,77.868718
429.141383,1000,79.881744
433.755015,1000,80.411836
588.404845,1000,80.955435
446.119526,1000,81.43147
655.432821,1000,81.889245
526.256676,1000,82.451545
418.170517,1000,82.901851
455.613646,1000,83.318737
394.306912,1000,83.762785
436.851372,1000,84.206783
439.349651,1000,87.325338
488.857323,1000,87.781154
516.71888,1000,88.225929
488.306453,1000,88.751718
599.7324,1000,89.197625
435.097211,1000,89.659909
472.445579,1000,90.076793
361.418259,1000,90.49285
378.749373,1000,90.92467
487.863289,1000,91.327634
525.434155,1000,93.368695
517.526408,1000,93.800122
416.514598,1000,94.456379
376.231702,1000,94.89773
363.074636,1000,95.333528
602.216505,1000,95.742532
564.341384,1000,96.184811
515.968419,1000,96.693955
300.318761,1000,97.117789
371.288118,1000,97.560292
680.518458,1000,99.472229
472.675716,1000,99.893272
485.067388,1000,100.297024
551.775692,1000,100.806134
658.853597,1000,101.266938
479.134778,1000,101.695876
674.008058,1000,102.122703
445.425657,1000,102.539626
511.230849,1000,103.056254
356.351596,1000,103.49811
598.862872,1000,105.443731
438.506392,1000,105.884441
552.47734,1000,106.324269
340.395732,1000,106.745607
395.869476,1000,107.176719
515.614745,1000,107.683643
636.500134,1000,108.291002
605.974989,1000,109.425136
373.883048,1000,110.334883
370.702458,1000,110.810855
306.139775,1000,112.617586
529.051575,1000,113.057948
525.013851,1000,113.482812
335.709126,1000,113.907359
259.627136,1000,114.322843
647.245183,1000,114.736283
425.21835,1000,115.255399
384.706988,1000,115.695294
610.631831,1000,116.127753
492.487384,1000,116.541646
420.083722,1000,118.387229
390.029691,1000,118.859551
328.196538,1000,119.307352
658.403888,1000,119.78758
473.776027,1000,120.316779
374.682126,1000,121.001604
611.02253,1000,121.61493
302.470746,1000,122.116469
321.79553,1000,122.562278
485.134882,1000,123.083305
584.478638,1000,125.072869
700.105051,1000,125.647837
265.598975,1000,126.112595
316.644545,1000,126.590357
542.000093,1000,127.008159
448.712944,1000,127.456632
698.512106,1000,127.930942
498.413609,1000,128.397273
628.633964,1000,128.842302
445.031467,1000,129.330961
674.474147,1000,131.391449
416.322266,1000,131.889119
346.396797,1000,132.346488
385.039373,1000,132.78036
473.507136,1000,133.239099
349.244374,1000,133.759651
528.146059,1000,134.259508
494.507648,1000,134.712795
490.113562,1000,135.18055
411.112088,1000,135.918124
570.364253,1000,138.075567
516.464504,1000,138.565288
703.388221,1000,139.046033
401.698674,1000,139.543407
578.999192,1000,140.214123
480.474079,1000,140.818496
314.6121,1000,141.329702
544.777794,1000,141.81943
371.795815,1000,142.304641
668.594006,1000,142.876683
362.84752,1000,144.760971
