# {"t_start": 1604679538.9705229, "env_id": "Qube-100-v0"} 
r,l,t
0.213377,220,155.093579
0.208246,203,155.253152
0.349731,322,156.733737
0.264454,247,156.916282
0.567697,368,157.17358
0.226278,258,157.393991
0.428855,260,157.571553
0.22622,256,157.760013
0.255228,238,157.943522
0.17347,225,158.101099
0.23672,238,158.259233
0.18741,230,158.45471
0.489472,292,158.671638
0.487514,309,158.892047
0.20967,202,159.05561
0.223045,241,159.240116
0.495901,311,159.48247
0.311829,282,159.683932
0.410055,297,159.907842
0.426559,236,160.073399
0.524195,327,160.286855
0.338414,251,160.447935
0.207792,230,160.594544
0.397639,325,160.821935
0.414651,295,161.009433
0.486457,281,161.196442
0.36937,304,161.409886
0.448436,284,161.604873
0.243237,236,161.760458
0.44044,275,161.948998
0.389411,299,162.138966
0.260195,267,162.315998
0.213106,205,162.450639
0.543945,342,162.680061
0.252392,238,162.841632
0.416632,300,163.039064
0.325331,302,163.238574
0.366041,293,163.431102
0.524318,357,164.867262
0.170867,177,165.008395
0.569438,319,165.231312
0.272917,255,165.392391
0.442798,264,165.587882
0.27331,253,165.770394
0.239355,229,165.92498
0.701514,409,166.203236
0.540028,237,166.352881
0.21873,207,166.495995
0.173239,228,166.65006
0.402104,273,166.834566
0.230689,215,166.974231
0.358228,302,167.188636
0.232787,200,167.319318
0.390013,232,167.470912
0.319868,203,167.597573
0.429678,238,167.761136
0.185149,180,167.88281
0.450808,286,168.087264
0.754885,448,168.403458
0.388654,298,168.621842
0.378807,261,168.807858
0.605508,360,169.045769
0.733205,375,169.313017
1.029586,489,169.640142
0.273443,242,169.814183
0.297724,248,170.014705
0.404749,337,170.26318
0.366171,254,170.426256
0.244564,184,170.578846
0.629314,321,170.823021
0.206376,228,170.982593
0.652766,386,171.24988
0.527105,346,171.491786
0.697881,321,172.885136
0.823478,406,173.178352
0.725866,417,173.460639
0.251442,242,173.630146
1.023828,555,174.012686
0.296273,312,174.213654
0.798027,467,174.557734
0.493801,361,174.78712
0.523897,355,175.04095
0.401841,282,175.226467
0.329174,215,175.362105
0.199106,240,175.530162
0.755768,416,175.791992
0.369377,238,175.951564
0.497872,300,176.149037
0.464404,310,176.367458
0.391645,270,176.561938
0.390925,224,176.717519
0.623366,341,176.943951
1.08906,600,177.335915
0.433055,299,177.554837
0.36448,241,177.710422
0.726386,342,177.939808
0.767343,450,178.243993
0.307569,247,178.409554
0.498529,329,178.63894
0.77955,442,178.937669
0.237559,219,179.081304
0.28198,281,179.264812
0.324267,230,180.689002
0.715881,339,180.933348
0.437017,280,181.136806
0.535516,283,181.327839
1.169309,600,181.734731
0.864676,355,181.978078
0.220018,242,182.132179
1.345702,553,182.508176
0.985152,439,182.825325
0.473458,322,183.040256
1.000743,498,183.375867
0.455775,345,183.631188
0.736946,372,183.886525
0.719187,393,184.153322
0.366936,254,184.319876
1.134266,600,184.731285
1.347897,600,185.141752
0.450826,267,185.316757
0.773562,312,185.515738
0.944292,514,185.879783
0.616096,381,186.130114
0.362792,260,186.299659
0.387016,270,186.501121
0.802396,421,186.785908
1.302738,600,187.190353
0.268423,239,187.346485
1.317746,600,188.872429
0.829038,442,189.177189
0.628568,364,189.418532
0.508453,330,189.658886
0.474983,281,189.860349
1.354857,582,190.260326
1.114172,549,190.64011
1.032109,461,190.927344
0.34145,266,191.130798
0.913128,485,191.45194
1.02884,600,191.862355
0.716955,373,192.101228
0.854147,438,192.394964
0.622666,354,192.644801
0.459293,267,192.827313
1.217207,600,193.235223
1.112584,519,193.582295
0.589953,305,193.795249
0.645323,369,194.041622
0.674716,375,194.299953
0.81539,446,194.608937
0.727217,411,194.892688
0.327264,215,196.513942
0.516595,289,196.722385
0.362178,259,196.896917
1.276371,600,197.322812
0.783111,393,197.572118
0.50932,362,197.815031
0.643021,341,198.04692
0.969977,431,198.366066
0.636986,361,198.674242
1.102478,492,199.063249
0.512226,324,199.301118
0.286422,268,199.494623
0.633976,366,199.74497
0.538898,286,199.942444
0.378981,287,200.129451
1.228414,534,200.508436
1.215537,422,200.796671
0.338902,217,200.961233
0.810049,435,201.245821
0.559373,298,201.459252
0.363772,209,201.603864
0.32178,302,201.839273
0.687459,334,202.066628
0.870016,375,202.320045
0.583599,337,202.55941
0.543161,279,202.763373
0.631138,365,203.012734
0.951397,438,203.302974
0.657231,310,204.821498
1.021978,430,205.162584
0.278389,190,205.291241
0.733711,397,205.552053
0.665211,377,205.808407
0.853003,399,206.073307
0.488084,281,206.259828
0.674451,380,206.515653
0.759249,389,206.810864
1.396653,600,207.217776
0.640657,359,207.457196
0.459859,330,207.683593
0.634192,290,207.873647
0.484054,297,208.106989
1.096875,600,208.533848
0.618524,356,208.780189
0.258337,193,208.908844
0.521215,337,209.141267
1.260348,467,209.461492
0.393312,273,209.636015
0.251455,191,209.77265
0.285834,191,209.904298
0.675905,310,210.11477
0.249878,180,210.238407
1.164745,508,210.593038
0.217775,194,210.715549
0.771251,320,210.942982
0.552709,279,211.114578
0.592497,296,211.325006
0.362715,208,211.467624
0.210369,183,212.636818
0.334155,201,212.79991
1.035183,418,213.098128
0.327819,201,213.229774
0.294277,258,213.396329
1.068236,393,213.680567
0.402348,277,213.873052
1.315081,600,214.296587
0.314609,197,214.433184
1.793004,600,214.856097
1.07928,600,215.267504
0.518532,289,215.465974
0.34049,253,215.650988
0.464064,221,215.79261
0.600263,298,215.998072
0.789595,320,216.212506
0.586084,316,216.427439
0.816534,362,216.677709
0.575325,354,216.946494
0.551469,300,217.149494
0.806163,360,217.381838
0.192973,188,217.518471
0.668043,372,217.770801
0.538268,326,217.993206
1.212798,558,218.37274
0.289507,200,218.512911
0.240981,187,218.638577
0.620338,360,218.879894
0.654044,331,219.104292
0.837598,327,219.329196
0.571175,229,220.746568
1.090095,496,221.124065
0.805461,388,221.413296
1.064291,489,221.774354
0.583524,349,222.061584
0.571447,293,222.279002
0.460174,223,222.459519
0.402468,208,222.650009
0.646554,302,222.901342
0.705018,375,223.211517
0.797373,390,223.508766
0.577364,295,223.78299
0.274009,191,223.934583
0.482496,282,224.189925
1.362716,600,224.674556
1.359741,600,225.132306
0.915959,433,225.438486
1.080262,551,225.81448
0.822225,320,226.031408
0.891248,446,226.330151
1.250436,512,226.716726
0.504472,288,226.915701
1.074182,421,227.20792
0.830166,386,227.468225
0.532955,357,227.709086
0.899388,337,227.938571
0.64273,372,229.465978
1.140188,493,229.827561
1.186141,439,230.151708
0.403227,207,230.288855
0.752674,391,230.565616
1.604212,580,230.96805
0.818173,324,231.200428
0.571828,295,231.41286
0.664346,373,231.661196
0.978695,412,231.943462
0.875354,373,232.197809
0.650005,369,232.456164
0.67392,338,232.678525
0.440339,204,232.823138
0.67832,269,232.997219
0.705435,311,233.217634
0.684607,373,233.471877
1.469393,588,233.872315
0.482232,283,234.074772
0.668541,377,234.340063
0.733437,316,234.559476
1.454254,600,234.988338
0.728688,347,235.241173
0.449168,215,235.389775
0.360953,206,235.550345
0.912192,430,235.853541
1.140457,490,236.195169
0.493281,287,237.512631
1.558735,600,237.949819
0.836718,253,238.125317
0.531534,286,238.326295
1.23708,600,238.773142
1.021632,453,239.093285
1.012586,374,239.33767
0.61846,367,239.586975
0.882243,398,239.852262
1.438573,600,240.252736
0.74085,381,240.521603
0.57233,264,240.713091
0.956887,413,241.002318
0.601597,302,241.214256
0.463721,218,241.363899
0.526046,222,241.527977
0.406781,206,241.68256
0.572654,293,241.882028
0.360128,203,242.032642
0.844808,391,242.305913
0.917754,396,242.578185
1.093882,419,242.847464
1.060094,427,243.134694
0.320744,204,243.278312
0.580551,227,243.435565
1.707145,600,243.867956
0.843481,438,244.183114
1.250446,453,245.757026
1.126722,421,246.05922
1.356503,600,246.472656
1.579202,600,246.91549
1.585352,600,247.332424
0.580665,295,247.529898
1.538594,542,247.898909
0.534668,290,248.161683
0.57356,293,248.433953
1.366394,600,249.015439
0.675035,337,249.321619
1.53742,600,249.852712
1.171759,470,250.265626
1.38904,600,250.699117
0.917786,463,251.022252
0.602393,296,251.227243
0.519849,287,251.434656
0.38015,271,251.637115
0.765384,386,251.918869
0.488736,218,252.076958
1.445303,600,252.507806
0.576076,362,252.757139
0.732133,311,254.387549
0.927648,400,254.686273
0.923714,392,254.960541
1.140229,600,255.384947
1.579634,600,255.815405
1.443605,595,256.252206
0.802654,328,256.484584
1.032599,413,256.772427
0.655448,303,256.97921
0.709136,337,257.222085
0.822211,320,257.452467
0.928942,378,257.706788
0.371323,204,257.871854
1.329375,600,258.326646
1.569409,600,258.746537
0.776398,416,259.04867
1.818875,600,259.467103
0.830909,386,259.748352
0.781682,381,260.009652
0.525799,353,260.252043
1.644683,600,260.669421
0.874229,396,260.976606
0.964599,438,261.285798
1.403472,600,262.902105
0.896694,336,263.164405
0.841224,389,263.43967
0.388307,208,263.577332
0.670326,306,263.790729
0.993727,414,264.07154
1.520908,544,264.459078
1.333128,600,264.884939
0.566471,293,265.104352
1.278804,600,265.55865
0.771592,412,265.831918
0.642284,303,266.038367
1.488191,600,266.455251
0.527169,288,266.66868
0.355865,205,266.816795
1.113735,495,267.159891
1.283278,582,267.571802
1.091506,423,267.870549
1.683339,600,268.299364
1.292197,540,268.692314
1.317938,600,269.108783
1.33029,600,269.540136
0.93008,468,271.037633
1.083919,488,271.379227
0.595529,300,271.594687
1.29186,600,272.042034
0.920217,327,272.261414
1.038853,416,272.562134
1.576932,600,272.984523
0.402062,174,273.114201
1.546721,600,273.535074
1.097936,600,273.950965
0.842964,392,274.218155
0.754278,312,274.434119
1.535292,600,274.861943
1.42724,600,275.310743
1.505591,600,275.723149
0.451244,244,275.898699
1.334796,600,276.335047
1.614229,600,276.766892
1.538041,600,277.197763
0.784918,317,277.440628
0.688547,306,277.651082
1.57149,600,279.385105
1.571811,600,279.81695
1.65738,600,280.235851
1.661998,600,280.685165
0.569805,259,280.873194
0.793737,317,281.113551
0.66484,305,281.324007
1.549484,600,281.756849
1.505736,600,282.19818
1.620613,600,282.623553
1.407898,600,283.044428
0.93461,405,283.336153
1.029246,339,283.58549
0.599144,299,283.811885
0.874346,369,284.080696
1.835711,600,284.515043
0.603394,297,284.715506
1.677176,600,285.153028
0.895205,400,285.462214
0.707748,374,285.732978
0.465815,278,285.920988
1.420357,535,287.893272
1.776045,538,288.328108
1.354617,548,288.764155
1.408003,600,289.2509
1.782936,600,289.762042
0.592605,231,289.929593
1.497176,600,290.382926
1.650082,600,290.860702
1.269329,600,291.322975
1.574372,600,291.733878
1.602801,600,292.189684
1.103006,456,292.518315
0.648285,304,292.737726
0.452401,214,292.902793
1.515327,567,293.317713
1.552197,600,293.745075
1.124697,489,294.092147
0.770581,312,294.313192
1.584724,600,294.733543
0.626034,301,294.966935
0.743864,344,296.368204
1.633439,600,296.82351
1.376659,600,297.270314
1.52682,533,297.655301
1.1325,392,297.935163
1.541905,533,298.311496
1.028124,412,298.61124
0.943823,331,298.84961
1.24932,473,299.217618
0.328143,199,299.351972
1.67287,600,299.787807
0.503858,216,299.942439
1.240725,600,300.366264
1.526964,600,300.800613
1.503211,600,301.251502
1.24709,366,301.514797
0.582429,231,301.69486
1.469922,523,302.085778
1.649926,582,302.504658
1.286236,600,302.921236
0.57821,230,303.101221
0.819982,321,304.786043
1.657109,600,305.274733
1.250653,506,305.654684
1.591844,517,306.035682
1.553343,600,306.475112
1.165553,462,306.811213
1.554494,600,307.244096
1.095417,422,307.554779
1.569517,600,307.970193
1.580276,600,308.414533
1.635261,600,308.856354
1.882376,600,309.294695
1.784843,578,309.728719
1.656716,600,310.168048
1.329143,600,310.599894
1.556445,600,311.034196
1.594074,600,311.468604
1.407621,600,313.532378
0.584569,229,313.700932
1.714514,600,314.157253
1.020765,344,314.412609
0.978291,408,314.701835
1.041993,441,315.02794
1.591166,537,315.430429
1.750302,600,315.863575
1.044022,343,316.118403
0.808999,293,316.340807
1.056996,418,316.649981
0.76544,311,316.868905
1.419885,600,317.376069
1.855118,574,317.870785
1.483011,600,318.414332
1.610275,600,318.889152
1.190285,394,319.17446
1.603918,600,319.614308
1.69179,600,320.062152
1.691645,600,320.522466
1.692926,591,322.337159
1.6916,553,322.758033
0.763737,312,322.994401
1.903279,600,323.453723
1.550881,600,323.898553
1.686058,600,324.354386
0.740815,346,324.600691
1.644632,600,325.036036
1.636805,600,325.481357
0.901315,331,325.750635
0.514891,191,325.886272
1.849433,600,326.376962
1.027218,376,326.645753
1.363202,448,326.969058
0.981423,442,327.291705
0.872033,325,327.533603
1.398351,519,327.916542
1.42841,557,328.322463
